urls,precio,calle,altura,metros_totales,metros_cubiertos,ambientes,banios,dormitorios,cocheras
/propiedades/clasificado/veclapin-mitre-166-microcentro-51038306.html,130000,Mitre,166.0,90.0,75.0,3.0,2.0,2.0,1.0
/propiedades/clasificado/veclapin-departamento-en-venta!-edificio-los-viajantes-52144171.html,65000,Av-Avalos-300-3°,0.0,70.0,70.0,4.0,1.0,3.0,0.0
/propiedades/clasificado/veclapin-exclusivo-departamento-de-1-dormitorio-coning-iv-53357080.html,127000,Av-Italia-N°430,0.0,62.0,62.0,0.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-departamentos-de-1-dormitorio-en-venta.-financiacion-54528504.html,1000,Departamentos-De-1-Dormitorio-A-Estrenar-En-Venta-San-Lorenzo,1450.0,46.0,46.0,2.0,1.0,1.0,1.0
/propiedades/clasificado/veclapin-venta-de-amplio-piso-en-esquina-estrategica-de-la-52712219.html,70000,Marcelo-Torcuato-De-Alvear,600.0,141.0,141.0,8.0,2.0,4.0,0.0
/propiedades/clasificado/veclapin-departamento-3-dorm.-san-cayetano-resistencia-50353982.html,35000,Mz-C--Casa-720--Tira,100.0,70.0,70.0,4.0,1.0,3.0,1.0
/propiedades/clasificado/veclapin-departamento-zona-unne-para-inversion!-54776308.html,30000,Arbo-Y-Blanco,1315.0,27.0,27.0,0.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-departamento-3-dorm-barrio-guiraldes-54188408.html,20000,Adelina-Del-Carril-&-Soldado-Aguilera,0.0,65.0,65.0,0.0,1.0,3.0,0.0
/propiedades/clasificado/veclapin-departamento-en-venta-en-torres-sarmiento-2-dormi-54682866.html,70000,Juan-Domingo-Perón,1400.0,56.0,53.0,4.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-departamento-2-ambientes-villa-centenario-51454361.html,24000,Arbo-Y-Blanco,1400.0,40.0,40.0,2.0,1.0,1.0,0.0
/propiedades/clasificado/veclapin-av-wilde-43-47384728.html,1000,Avenida-Wilde,43.0,52.0,38.0,2.0,1.0,0.0,0.0
/propiedades/clasificado/veclapin-departamento-de-2-dorm.-en-venta-a-estrenar-54524586.html,1000,Departamento-A-Estrenar-En-Resistencia-2-Dormitorios-Av-Sarmiento,645.0,85.0,85.0,3.0,2.0,2.0,1.0
/propiedades/clasificado/veclapin-av-edison-844-p.-2-dpto.-a-52321349.html,33000,Av-Edison,844.0,32.0,32.0,1.0,0.0,1.0,0.0
/propiedades/clasificado/veclapin-venta-departamento-centro-de-rcia.-3-dorm.-54676356.html,70000,Garcia-Merou,200.0,72.0,66.0,4.0,2.0,3.0,1.0
/propiedades/clasificado/veclapin-se-vende-departamento-de-dos-dorm.-en-peron-657-53570441.html,65000,Juan-Domingo-Perón,600.0,400.0,0.0,0.0,0.0,0.0,0.0
/propiedades/clasificado/veclapin-dpto-2-dorm.-edificio-san-ignacio-con-piscina!-50655180.html,150000,Pueyrredon,700.0,87.0,145.0,0.0,2.0,2.0,0.0
/propiedades/clasificado/veclapin-se-vende:-corrientes-744-monoambiente-en-edificio-51542852.html,55000,Corrientes--700-4°,0.0,40.0,0.0,1.0,0.0,0.0,0.0
/propiedades/clasificado/veclapin-se-venden-depsrtamentos-a-estrenar-53446149.html,47000,Colon,900.0,40.0,33.0,0.0,0.0,0.0,0.0
/propiedades/clasificado/veclapin-depto.-barrio-malvinas-a-la-venta-53344240.html,30000,Vedia-Y-Borges,0.0,52.0,52.0,3.0,1.0,2.0,0.0
/propiedades/clasificado/veclapin-venta-duplex-av-sarmiento-575-resistencia-54769964.html,350000,Avenida-Sarmiento,500.0,196.0,186.0,6.0,3.0,3.0,0.0
